benchmark,category,arxiv_id,repo,frozen_commit,repo_url,audit_date,paper_note
BigCodeBench,code-gen,2406.15877,bigcode-project/bigcodebench,09dd993f46c3fbf3a799465bb96d524edcb0b199,https://github.com/bigcode-project/bigcodebench,2026-07-13,
DA-Code,code-gen,2410.07331,yiyihum/da-code,b211daf51fdc9b52d5087c9df28ac50191bcabed,https://github.com/yiyihum/da-code,2026-07-13,
DS-1000,code-gen,2211.11501,xlang-ai/DS-1000,b39aab71da6d23ef8d3cac59a7c5f834516ab334,https://github.com/xlang-ai/DS-1000,2026-07-13,
PandasEval/NumpyEval (CERT),code-gen,2206.06888,microsoft/PyCodeGPT,62d8430dfa0e38b5efa66e6736c20942d131e9b7,https://github.com/microsoft/PyCodeGPT,2026-07-13,
BLADE,e2e-agent,2408.09667,behavioral-data/BLADE,6118fa8d5007b91aa8c91c518182db82446a4547,https://github.com/behavioral-data/BLADE,2026-07-13,
BixBench,e2e-agent,2503.00096,future-house/bixbench,49311180bdacb324c596f2e07596c126f2004008,https://github.com/future-house/bixbench,2026-07-13,
DataSciBench,e2e-agent,2502.13897,THUDM/DataSciBench,84ef3d4d94d7362a5149cf14a73dc168fc4f2f33,https://github.com/THUDM/DataSciBench,2026-07-13,Findings of ACL 2026
DiscoveryBench,e2e-agent,2407.01725,allenai/discoverybench,c31fcf011e070f021a5f5b906896d0821f6880e8,https://github.com/allenai/discoverybench,2026-07-13,
InfiAgent-DABench,e2e-agent,2401.05507,InfiAgent/InfiAgent,3d6c4a70198e0a41fadf539f5b43c88b8c1a2d9c,https://github.com/InfiAgent/InfiAgent,2026-07-13,
QRData,e2e-agent,2402.17644,xxxiaol/QRData,de450af45ff7101b328bb064c6b475f73414a7ed,https://github.com/xxxiaol/QRData,2026-07-13,
ScienceAgentBench,e2e-agent,2410.05080,OSU-NLP-Group/ScienceAgentBench,72220ee8d20a0b8770835e48c22675c65074c364,https://github.com/OSU-NLP-Group/ScienceAgentBench,2026-07-13,
Spider2-V,e2e-agent,2407.10956,xlang-ai/Spider2-V,c2a3a6c2f5d7604464f162c6550b60db3eee04e8,https://github.com/xlang-ai/Spider2-V,2026-07-13,
DSBench,ml-eng,2409.07703,LiqiangJing/DSBench,ba786096137a5108af11c016ad3f09cdb97beefd,https://github.com/LiqiangJing/DSBench,2026-07-13,
MLAgentBench,ml-eng,2310.03302,snap-stanford/MLAgentBench,5d71205cc20a8e95d43aa7cb7120e89ca3323e31,https://github.com/snap-stanford/MLAgentBench,2026-07-13,
MLE-bench,ml-eng,2410.07095,openai/mle-bench,507f92e1138bb6e40dac5c6ee7a6758e6424bf97,https://github.com/openai/mle-bench,2026-07-13,
MLGym,ml-eng,2502.14499,facebookresearch/MLGym,9d40c1b5035202018cd7091fb4e83a9c68b377c0,https://github.com/facebookresearch/MLGym,2026-07-13,
RE-Bench,ml-eng,2411.15114,METR/ai-rd-tasks,93b98062e55f6945d4a7e213a3226dd419896170,https://github.com/METR/ai-rd-tasks,2026-07-13,
SpreadsheetBench,tabular,2406.14991,RUCKBReasoning/SpreadsheetBench,49b73a94775fb489063f60ca1865e3a650079a79,https://github.com/RUCKBReasoning/SpreadsheetBench,2026-07-13,
TabFact,tabular,1909.02164,wenhuchen/Table-Fact-Checking,2ab782ba42b5808076ac91fec846473aa5315a79,https://github.com/wenhuchen/Table-Fact-Checking,2026-07-13,
TableBench,tabular,2408.09174,TableBench/TableBench,6c61a20340409dea8f96edb8675e66bb4abd7b28,https://github.com/TableBench/TableBench,2026-07-13,
WikiTableQuestions,tabular,1508.00305,ppasupat/WikiTableQuestions,7d455a5a707b96341ef72aff9428749d443d8aa9,https://github.com/ppasupat/WikiTableQuestions,2026-07-13,
BIRD,text2sql,2305.03111,AlibabaResearch/DAMO-ConvAI,483554eae102996f5ec1f4feab4e78ef29c2a394,https://github.com/AlibabaResearch/DAMO-ConvAI,2026-07-13,
BIRD-CRITIC / SQL-eval,text2sql,,defog-ai/sql-eval,b83332416ea2d424b0cd12994a0a9ba100f4b4af,https://github.com/defog-ai/sql-eval,2026-07-13,no dedicated arXiv paper located (repository tool)
Dr.Spider,text2sql,2301.08881,awslabs/diagnostic-robustness-text-to-sql,c64694a4a278ab0faff08ce7a3501d46f458b431,https://github.com/awslabs/diagnostic-robustness-text-to-sql,2026-07-13,
Spider,text2sql,1809.08887,taoyds/spider,b7b5b8c890cd30e35427348bb9eb8c6d1350ca7c,https://github.com/taoyds/spider,2026-07-13,
Spider 2.0,text2sql,2411.07763,xlang-ai/Spider2,01a4c67c1e3f6ab9032716b050a927abbb245f65,https://github.com/xlang-ai/Spider2,2026-07-13,
